내용,댓글,댓글쓴이,대댓글여부,id
안녕하세요 조교님!성적 백분위는 성적 증명서를 직접 뽑지 않는 이상 확인 불가인건가요??,,,,133280401
안녕하세요! 혹시 1학기를 다녔다면 여름 계절학기 수강 후 2학기 휴학을 해도 여름 계절학기에서 취득한 학점은 인정이 되나요?,['네 인정됩니다 1학기 학점으로 산입됩니다'],['에타조교'],['parent'],133262798
안녕하세요 조교님. 혹시 군 복무 중 학점 인정을 받을 수 있는 방법이 어떤게 있을지 알려주실 수 있으실까요?,"['k-mooc 이라는 정부 산하 기관에서 학점을 인정받을 수 있다는 말을 들은 것 같은데 혹시 알려주실 수 있으실까요?', '알고계신대로 K-mooc이나 또는 별도의 군교육기관에서 일정 시간 이상의 교육을 받으면 휴학 중 학점 인정 제도를 통해서 학점을 이수할 수 있습니다 신청을 희망한다면 학종지의 기타(외부) 학점인정 담당자에게 먼저 문의바랍니다']","['브룹', '에타조교']","['parent', 'parent']",133261434
안녕하세요! 조교님 제가 사정이 있어서 신입생 영어시험을 못봤는데 2학기때 대학외국어 수강을 하려면 시험을 어떻게 봐야하나요? 감사합니다,['신입생 영어진단평가는 매년 1~2월경에 진행되며 재학생 신청 및 응시도 그 때만 가능합니다 따라서 올해는 영어시험 응시 및 대학외국어 이수를 할 수 없으며 내년 1~2월에 학교 외국어교육센터 홈피의 공지에 따라 시험에 응시해야합니다'],['에타조교'],['parent'],133248778
안녕하세요 조교님! 졸업유예관련 질문드립니다.제가 모든 조건을 다 만족하고 졸업 예비사정결과에서 졸업가능이라고 확인했는데요. 사정상 졸업을 미루고 유예하고싶습니다. 학종지에 방문하면 영어성적이 취소 가능하다고 들었는데 취소 가능한 기간이 언제까지인지 혹시 알고계실까요..?,['이미 인증처리가 되었다면 취소할 수 없습니다'],['에타조교'],['parent'],133218542
안녕하세요 조교님. 군휴학 중인 10월 전역예정자입니다. 제가 군휴학이 최대 3년이라는 말을 들었던것같아서요 혹시 군휴학을 내년까지로 연장도 가능한가요? 아니라면 어느정도까지 연장이 가능한가요?,['일반휴학이 최대 3년이며 군휴학은 별도의 제한은 없습니다 다만 학생의 경우엔 2학기 도중인 10월에 복무가 끝나므로(즉 군휴학을 연장할 근거가 없어지므로) 2학기에도 휴학을 희망한다면 일반휴학을 신청해야 합니다'],['에타조교'],['parent'],133183042
안녕하세요 조교님!1학년은 휴학 신청이 불가한가요?,"['1학년 1학기는 군휴학, 모성보호휴학, 입원치료 등을 제외한 일반휴학은 되지 않습니다 2학기부터는 제한없이 신청할 수 있습니다']",['에타조교'],['parent'],133151919
"14학번의 경우 교양 필수영역이 글쓰기랑 세미나밖에 안보이는데, 그럼 언어와 문학, 과학과 기술 이런거 각각 1개씩 들어야 되는 기준 없는건가요?",['그렇습니다 각 교양영역별 취득학점 기준은 15학번 이후부터 적용됩니다'],['에타조교'],['parent'],133145527
사범대생이고 이중전공으로 EICC를 하고 있습니다. EICC학과를 통해 복수교원(영어)자격을 취득할 수 있나요?,['현재 학생은 사범대생(교직과정 이수자)이기 때문에 이중전공에 대한 복수교원자격을 신청할 조건은 됩니다 다만 영어교육과가 아닌 EICC로도 영어교사 자격증을 취득할 수 있는지는 저도 잘 모르겠네요...학종지의 사범대 및 교직담당자에게 문의바랍니다 02 2173 2338'],['에타조교'],['parent'],133096360
조교님 안녕하세요! 수고가 많으십니당!!혹시 막학기에는 수강해야할 학점이 1학점 이상만 남아있으면 학점을 올리기 위해 필수이수학점인 134을 초과하여 수강해도 되나요? 감사합니다!!,['네 졸업필수학점이 남아있다면 초과해서 이수해도 됩니다'],['에타조교'],['parent'],133039693
"안녕하세요 조교님다름이 아니라 제가 이중변경을 해서 경영이 이중인 상황인데, 경제 부전공으로 변경할수가 있나요?안된다면 경영 부전으로 내리는것으로 가능한가요?","['부전 신청 시 이중전공 여부는 상관없습니다 단지 한번 이중을 변경한 상태에서 부전으로 내리면 그 이후부턴 이중 신청이 안 될 뿐입니다(이중변경은 재학 중 1회만 가능, 후기이중은 제한없음)', '감사합니다!!']","['에타조교', '익명(글쓴이)']","['parent', 'parent']",133038849
"에타조교님 안녕하세요!!졸업요건 관련해서 찾아보다가 수강편람/학과홈페이지에서도 확인하였는데 헷갈리는 점이 있어 문의하게되었습니다졸업요건에제2전공, 이중전공, 복수전공 및 융합전공도 본 규정을 준용함이렇게 안내가 되어있으면 여기에 부전공도 포함되는건가요? 작년에 학과장실에 문의하였을때는 부전공자는 졸업시험 응시안하셔도된다고 안내를 들었는데 휴학하게되면서 이제 졸업을 준비하게되면서 다시 찾아보니 저렇게 되어있네요😭학과장실에 문의하기전에 에타조교님께 한번 여쭤봅니다 감사합니다!","['부전공은 학위가 나오지 않기 때문에 일반적으로 졸업시험을 볼 필요가 없습니다 일부 학과에선 따로 조건을 두는 경우도 있긴 하지만 일전에 부전공자는 졸시를 볼 필요가 없다고 답변을 한점, 그리고 글에 설명된 졸업요건에 부전공자가 명시되지 않은걸 봐선 해당학과도 별도의 조건은 두지 않는 걸로 보입니다 과사에 문의하셔서 확실하게 확인바랍니다', '네 감사합니다! :) 수고가정말 많으세요❣️']","['에타조교', '익명(글쓴이)']","['parent', 'child']",133024842
"안녕하세요 에타조교님 더운날씨 건강조심하세요!편입생인데 지금까지 총 취득 학점이 121(1전공:43, 교양:40, 자선:38)인데 졸업할려면 몇학점을 더 들어야 하는것인가요?","['이건 소속 단과대, 학번, 이중전공 여부 등에 따라서 달라집니다 즉 개인별로 조금씩 차이가 있기 때문에 편입생 편람에서 본인의 조건에 맞는 졸업학점을 확인하셔야 합니다']",['에타조교'],['parent'],133021424
안녕하세요 조교님! 늘 수고 많으세요!편입생들음 졸업 총학점이 어떻게 되나요?!,"['소속 단과대, 학번 및 이중전공 여부에 따라 이수학점이 다릅니다 이건 학생들에 따라서 각자 다르기 때문에 편입생 편람을 참고하셔야 합니다']",['에타조교'],['parent'],133019713
"안녕하세요 조교님, 다름이 아니라 이번 졸업예비사정결과를 보았는데 이렇게 나왔습니다. 토익성적만 제출하면 졸업이 가능한건가요?? 학점 완료의 뜻이 제가 들어야 할 전공필수, 교양, 전공수업을 모두 다 이수해서 더이상 들어야 할 수업이 없다는 의미인가요 아니면 그저 채워야 하는 학점은 모두 이수가 되었다는 말인가요??!",['네 그렇습니다 현재 학생은 졸업학점을 다 이수했으므로 추가학기 등록 및 학점 이수는 불가능한 상태입니다(수료생 신분) 인증만 남겨둔 상태이며 졸업사정 이전에 인증을 한다면 바로 졸업생으로 전환됩니다 만약 8월 졸업을 희망하신다면 바로 학종지에 문의하셔서 인증을 하시길 바랍니다'],['에타조교'],['parent'],133009174
안녕하세요! 조교님. 졸업요건에 관해 여쭤보고자합니다.저는 금년 8월 졸업대상자인데 졸업요건중 외국어인증만을 남겨둔 상태입니다. 이 경우는 다음학기에 등록하지않더라도 차후 외국어인증(토익 점수)를 제출하는 학기에 졸업을 할 수 있는것인지 알고싶습니다.다시말해 토익점수를 내지않으면 추가비용없이 졸업유예가 가능한것인지 여쭙고자합니다. 감사합니다.,['현재 학생은 8학기 이상 등록했고 졸업학점은 다 이수한 것으로 보입니다 이때는 수료생(졸업대기) 신분이 되므로 별도의 비용없이 졸업이 계속 유예됩니다'],['에타조교'],['parent'],133009020
"안녕하세요 조교님! 학석사 연계과정에대해서질문이 있습니다. 5학기를 마친 현재 졸업까지 남은 전공 학점이9학점이라면 학석사연계를 할경우 남은9학점전공은 대학원에서 채우면 되는건가요? 또, 학석사연계과정에서 대학원 전공연계 가능 학점은 9학점이 최대인가요? 마지막으로, 올해는 후기 학석사연계모집이언제쯤 뜨는지 궁금합니다. 항상 지금보다 모집공고가 빨리떴는데 올해는 계속 공고가 안보이네요ㅠㅠ","['1. 학석사연계를 이수할 때 학부과정은 대학원 연계 9학점을 포함한 졸업학점을 이수해야 합니다 해당 9학점은 전공으로 인정되기 때문에 만약 학생이 전필을 포함한 전공학점을 다 이수하고 9학점이 남았다면 그걸로 채울 수 있습니다 2. 학석사연계과정 모집은 각 대학원의 일정에 따라 매학기마다 차이가 있습니다 지금 코로나 때문에 모집일정에 혼선이 있을 수도 있는데 이건 학종지의 학적(학석사 연계) 담당자에게 문의해보시길 바랍니다', '감사합니다! 그리고 학석사연계중 대학원에서 9학점이상으로 수강할 수 있는지도 궁금합니다!']","['에타조교', '익명(글쓴이)']","['parent', 'parent']",133003612
조교님 안녕하세요! 수고가 많으십니다! 제가 이번 1학기 교환학생을 다녀온 후 지금 여름 계절학기를 수강하고 있는데요 제가 올해 2학기를 휴학할 계획인데 2학기 휴학 후 겨울 계절학기를 수강할 수 있나요?(2021년 1학기 복학 예정입니다!),['네 가능합니다'],['에타조교'],['parent'],133003501
조교님 안녕하세요:)지금 저는 경영 부전이고 경영학 이중전공으로 올리고 싶은데 4-1까지 마친 상태입니다이번 겨울까지는 기준이 안돼서 시험 못볼꺼 같구 내년 여름에나 칠 수 있을 것 같은데요 제가 다음학기에 4-2를 다니면 이중전공 시험이나 후기 이중 시험을 칠 수 없는건가요??,"['4-2에도 이중전공변경, 후기이중 둘다 신청할 수 있습니다 모두 합격하면 둘 중 하나는 포기하면 됩니다']",['에타조교'],['parent'],132994710
학과에서 TA비 계속 안주면 어디다 말해야되요?과사에 말해도 계속 학과장님이 아직 안정해 주셨다고 계속 미루기만 하는데,['으음...저는 학교에서 주는 조교장학금을 직접 지급받아서 학과에서 주는 TA비에 대해선 잘 모르겠네요 조교 관련 업무는 학교 교무처에서 담당하니 그 쪽에 문의해보시는게 좋을것 같습니다'],['에타조교'],['parent'],132990594
조교님 읽어주셔서 감사합니다!!제가 컴전 19학번인데 다른 전공으로 부전공 신청을 하여 수업을 듣고 있는 상황입니다 19학번부터는 본전공 이수학점이 66학점 이상이어야 하는건가요.?,"['+ 혹시 제가 전공을 75학점 이상 듣는다면 나중에 전공심화 + 부전공으로 바꿀 수 있는건가요?', '1. 표에 설명된 내용대로라면 본전공은 66학점 이수가 맞습니다 2. 전공 + 부전공으로 듣다가 추후에 전공심화 + 부전공으로 바꿔도 됩니다']","['익명(글쓴이)', '에타조교']","['parent', 'parent']",132939210
