ID,CLASS,QUESTION,LEMMA,ANSWER,TAGSET
0,이중전공,"편입생은 이중전공이 안돼요???이번에 들어온 편입생이고, 이중전공신청 들어가니까 학생은 신청대상자가 아니래요??????학교에 전화해도 다들 안받으셔서 여기 물어봐요??","편입 생 은 이중전공 이 안 되 어요 ? ?? 이번 에 들어오 ㄴ 편입 생 이 고 , 이중전공 신청 들어가 니까 학생 은 신청 대상 자 가 아니 래요 ?????? 학교 에 전화 하 어도 다 들 안 받 으시 어서 여기 묻 어 보 어요 ??",,
1,이중전공,글캠인데 중통으로 이중전공 하고싶은데 성적 높아야하나요?,글캠 이 ㄴ데 중통 으로 이중전공 하 고 싶 은데 성적 높 어야 하 나요 ?,,
2,이중전공,이중전공 변경 기간은 5월이고 부전공 신청 기간은 7월 맞죠??!,이중전공 변경 기간 은 5월 이 고 부전공 신청 기간 은 7월 맞 죠 ??!,,
3,이중전공,스페인 이중전공을 경영 부전공으로 바꿀 수 있나요??,스페인 이중전공 을 경영 부전공 으로 바꾸 ㄹ 수 있 나요 ??,,
4,이중전공,서울캠에 너무가고싶은데 전과 보다는 이중전공이쉽나여?? 이중전공은 어떻게하는거애요,서울캠 에 너무 가 고 싶 은데 전과 보다 는 이중전공 이 쉽 나 여 ?? 이중전공 은 어떻 게 하 는 거 애 요,,
5,이중전공,절대평가면 이중전공 신청시 학점에 대한 기준이 아예 없어지는 건가요?,절대 평가 이 면 이중전공 신청 시 학점 에 대하 ㄴ 기준 이 아예 없 어 지 는 거 이 ㄴ가요 ?,,
6,이중전공,경제 이중전공 하려면 시험봐야 하나요?학점은 어느정도 되어야 하나요?,경제 이중전공 하 려면 시험 보 어야 하 나요 ? 학점 은 어느 정도 되 어야 하 나요 ?,,
7,부전공,"현재 국통 부전공상태에서 2학년끝나고 휴학을 할 예정인데, 휴학중일때 국통이중 시험을보고 이중변경 신청을 하려고해요 그럼 학점이 몇 학년 몇학기 성적이 반영되는건가요..?","현재 국 통 부전공 상태 에서 2 학년 끝 나 고 휴학 을 하 ㄹ 예정 이 ㄴ데 , 휴학 중 이 ㄹ 때 국 통 이중 시험 을 보 고 이 중 변경 신청 을 하 려고 하 어요 그럼 학점 이 몇 학년 몇 학기 성적 이 반영 되 는 거 이 ㄴ가요 ..?",,
8,이중전공,이중전공 처음 신청하고 경쟁에 밀려서 불합격하면 포기하고 다음학기나 학년에 다시 지원할 수 있나요?,이중전공 처음 신청 하 고 경쟁 에 밀리 어서 불 합격 하 면 포기 하 고 다음 학기 나 학년 에 다시 지원 하 ㄹ 수 있 나요 ?,,
9,이중전공,"제가지금 부전공을 하고있는데, 변경기간에 다른 전공을 이중전공으로 신청할 수 있나요?","제 가 지금 부전공 을 하 고 있 는데 , 변경 기간 에 다른 전공 을 이중전공 으로 신청 하 ㄹ 수 있 나요 ?",,
10,이중전공,부전공 이중전공은 거의 전필만 듣는다고 보면됨??본전공 전필+전선+교필 채우고 나머지를 이중전공학과 전필로 하면 학점 다 참?,부전공 이중전공 은 거의 전 필 만 듣 는다고 보 면 되 ㅁ ?? 본 전공 전 필 + 전선 + 교 필 채우 고 나머지 를 이중전공 학과 전 필 로 하 면 학점 이 다 참 ?,,
11,이중전공,저 경제 이중전공 너무하고싶은데 학점만 잘따면되나요? 또 필요한거없나요? 검색 다해봤는데도 안나오네요ㅠ,저 경제 이중전공 너무 하 고 싶 은데 학점 만 잘 따 면 되 나요 ? 또 필요 하 ㄴ 거 없 나요 ? 검색 다 해보 었 는데 도 안 나오 네요 ㅠ,,
12,이중전공,편입생인데 이중전공 신청하려면 이번에 몇학점이상 수강신청 해야되는지 제한이 있나요?,편입 생 이 ㄴ 데 이중전공 신청 하 려면 이 번 에 몇 학점 이상 수강 신청 하 어야 되 는지 제한 이 있 나요 ?,,
13,이중전공,사정상 2학기에 입학하는 신입생입니다. 그렇게 되면 21년 2학기에 2학년이 되는데 이중전공을 이때 신청할수도 있나요??,사정 상 2 학기 에 입학 하 는 신입 생 이 ㅂ니다 . 그렇게 되 면 21 년 2 학기 에 2 학년 이 되 는 데 이중전공 을 이때 신청 하 ㄹ 수 도 있 나요 ??,,
14,이중전공,"본전공 어문 이중 어문 질문있습니다!본전공으로 방학때 연수 다녀오면 학점이 인정되는걸로 아는데, 이중전공 어문도 연수다녀오면 전공학점이 인정 되나요? 아니면 인정학점 제한이 있나요?","본 전공 어문 이중 어문 질문 있 습니다 ! 본전 공 으로 방학 때 연수 다녀오 면 학점 이 인정 되 는 거 ㄹ로 알 는데 , 이중전공 어문 도 연수 다녀오 면 전공 학점 이 인정 되 나요 ? 아니면 인정 학점 제한 이 있 나요 ?",,
15,이중전공,이중전공생인데 1학년 전공수업을 들으려고 했는데티오가 아예 없던데 1학년들 다 하고 신청 받는 건지아니면 증원신청을 따로 해서 들을 수 있는 건지 알고싶어요 ㅠㅠ 이중제한은 없었는데 어떻게수강신청을 해야하는 건지 모르겠어요,이중전공 생 이 ㄴ데 1 학년 전공 수업 을 듣 으려고 하 었 는데 티 오 가 아예 없 던데 1 학년 들 다 하 고 신청 받 는 거 이 ㄴ지 아니 면 증원 신청 을 따로 하 어서 듣 을 수 있 는 거 이 ㄴ지 알 고 싶 어요 ㅠㅠ 이 중 제한 은 없 었 는데 어떻게 수강 신청 을 하 어야 하 는 거 이 ㄴ지 모르 겠 어요,,
16,이중전공,"전과햇고 작년에이중전공신청안했는데, 그럼이제 이중 언제신청하나요? 조진건가요","전과햇 고 작년 에 이중전공 신청 안 하 었 는데 , 그럼 이제 이중 언제 신청 하 나요 ? 조진 건가요",,
17,이중전공,이중전공 3학년때부터 들어도 될까요..?1학년 학점으론 원하는 이중전공에 도저히 지원할 수가 없을 거 같아서 그냥 이번에는아무것도 안 했는데.. 그냥 2학년때 자유선택으로 몇 과목 들어놓고3학년때 이중 다시 신청해도 괜찮을까요..? ㅠ찾아보니까 자유선택으로 들은 학점이 나중에 이중으로 변경할 때 인정이 안 되는 경우도 있다고 해서.. ㅠㅠ 어떻게 해야 할지 모르겠습니다 ㅠㅠㅠ,이중전공 3 학년 때 부터 듣 어도 되 ㄹ까요 ..? 1 학년 학점 으로 ㄴ 원하 는 이중전공 에 도저히 지원 하 ㄹ 수 가 없 을 거 같 어서 그냥 이번 에 는 아무것 도 안 하 었 는데 .. 그냥 2 학년 때 자유 선택 으로 몇 과목 듣 어 놓 고 3 학년 때 이 중 다시 신청 하 어도 괜찮 을까요 ..? ㅠ 찾아보 니까 자유 선택 으로 듣 은 학점 이 나중 에 이중 으로 변경 하 ㄹ 때 이 ㄴ 정 이 안 되 는 경우 도 있 다고 하 어서 .. ㅠㅠ 어떻게 하 어야 하 ㄹ지 모르 겠 습니다 ㅠㅠㅠ,,
18,이중전공,이중전공 떨어져서 그 과를 부전공으로 신청해서 됬는데 부전공 수업을 이번학기에 듣는게 나을까요? 전공만 듣는게 나을까요?? (5월에 가능하면 이중전공으로 변경 신청할 예정입니다.),이중전공 떨어지 어서 그 과 를 부전공 으로 신청 하 어서 되 었 는데 부전공 수업 을 이번 학기 에 듣 는 것 이 나 을까요 ? 전공 만 듣 는 것 이 나 을까요 ?? ( 5 월 에 가능 하 면 이중전공 으로 변경 신청 하 ㄹ 예정 이 ㅂ니다 . ),,
19,이중전공,미리 듣는 거 되나요일단 타과거 듣고 이중변경하면 이중전공으로 인정되나요ㅠㅠ제발 알려주세요,미리 듣 는 거 되나요 일단 타 과거 듣 고 이 중 변경 하 면 이중전공 으로 인정 되 나 이 요 ㅠㅠ 제발 알리 어 주 세 요,,
20,이중전공,중언문 이중전공 신청해서 되어있는 상탠데 중외통교차수강과목 듣고 5월달에 이중전공 중외통으로 변경하면 이중 학점으로 인정될까요??,중 언문 이중전공 신청 하 어서 되 어 있 는 상태 이 ㄴ데 중외통교차 수강 과목 듣 고 5 월 달 에 이중전공 중외통 으로 변경 하 면 이중 학점 으로 인정 되 ㄹ까요 ??,,
21,이중전공,하나만 여쭤봐도될까요?ㅜㅜ제가 이중전공도 안하고 부전공신청기간도 놓쳤는데요ㅠㅠ방송 영상 뉴미디어를 이중전공으로 하고싶은데이번 1학기때 전공을 듣고5월에 부전 신청을 해서 2학기말에 이중전공으로 신청넣어도 될까요??ㅠㅠㅠ,하나 만 여쭈 어 보 어도 되 ㄹ까요 ? ㅜㅜ 제가 이중전공 도 안 하 고 부전공 신청 기간 도 놓치 었 는데 요 ㅠㅠ 방송 영상 뉴 미디어 를 이중전공 으로 하 고 싶 은데 이번 1 학기 때 전공 을 듣 고 5 월 에 부전 신청 을 하 어서 2 학기 말 에 이중전공 으로 신청 넣 어도 되 ㄹ까요 ?? ㅠㅠㅠ,,
22,이중전공,"다음학기에 이중전공을 바꾸려고 하는데,이번학기에는 다음학기에 바꿀 이중전공 과목을 자유선택 학점으로 듣고 다음학기에 변경하면 그 자유선택으로 들어갔던 학점이 이중전공 학점으로 변경될 수 있나요..?(학교 수업 관련 게시판을 잠깐 중단해서 메일 넣어놓긴 했는데 연락이 없어서 전화해보려고는 합니다. 그렇지만 혹시 에타에 아시는 분 있을까 해서요!)","다음 학기 에 이중전공 을 바꾸 려고 하 는데 , 이번 학기 에 는 다음 학기 에 바꾸 ㄹ 이중전공 과목 을 자유 선택 학점 으로 듣 고 다음 학기 에 변경 하 면 그 자유 선택 으로 들어가 었 던 학점 이 이중전공 학점 으로 변경 되 ㄹ 수 있 나요 ..? ( 학교 수업 관련 게시판 을 잠깐 중단 하 어서 메일 넣 어 놓 기 ㄴ 하 었 는데 연락 이 없 어서 전화 하 어 보 려고 는 하 ㅂ니다 . 그렇지만 혹시 에타 에 알 시 는 분 있 을까 하 어서 요 ! )",,
23,이중전공,이중전공 한 번 바꿀 수 있는 거죠..?,이중전공 한 번 바꾸 ㄹ 수 있 는 거 이 죠 ..?,,
24,이중전공,부전공으로 들은 전공을 이중전공 신청 기간때 신청해서 합격하면 이중전공으로 바뀌나요 ??,부전공 으로 듣 은 전공 을 이중전공 신청 기간 때 신청 하 어서 합격 하 면 이중전공 으로 바뀌 나요 ??,,
25,이중전공,이중전공 되면 1학년 과목부터 들어야하나요?,이중전공 되 면 1 학년 과목 부터 듣 어야 하 나요 ?,,
26,이중전공,지금 된 이중이 괜찮을지 어떨지모르겠어서 그런데 이중된 상태로 다른전공 부전공으로 듣다가 그거맘에들면 이중변경하고 아니면 부전취소하고 다시 걍 원래있던 이중전공하는거 가능한가요??,지금 되 ㄴ 이중이 괜찮 을지 어떻 ㄹ지 모르 겠 어서 그런데 이 중 되 ㄴ 상태 로 다른 전공 부전공 으로 듣 다가 그거 맘 에 들 면 이중 변경 하 고 아니 면 부전 취소 하 고 다시 걍 원래 있 던 이중전공 하 는 거 가능 하 ㄴ가요 ??,,
27,이중전공,이중전공 결과 나왔어요 ???,이중전공 결과 나오 었 어요 ???,,
28,이중전공,이중 떨어졌는데 부전공으로 신청했다가 그 과를 이중전공으로 변경할 수도 있나요?,이 중 떨어지 었 는데 부전공 으로 신청 하 었 다가 그 과 를 이중전공 으로 변경 하 ㄹ 수 도 있 나요 ?,,
29,이중전공,이중전공도 증원해달라면 받아주는데 있나요..,이중전공 도 증원 하 어 달 라면 받 어 주 는 데 있 나요 ..,,
30,이중전공,이중전공으로 신청한 학과랑 전과한 학과랑 같은데 전과했으면 이중전공은 어떻게 바꾸는지 아시는 분 계신가요ㅠㅠ????,이중전공 으로 신청 하 ㄴ 학과 랑 전과 하 ㄴ 학과 랑 같 은데 전과 하 었 으면 이중전공 은 어떻 게 바꾸 는지 알 시 는 분 계시 ㄴ가요 ㅠㅠ ????,,
31,이중전공,"제가 전공은 독일어이고, 영문과를 이중전공하려 하고 이제 3학년입니다.1영문과에 ‘전공’이라고 써있는 수업들도 수강신청이 가능할까요2 그 수업들이 나중에 이중이 영문과가 확정이 되면 영문과 이중 학점으로 인정이 되나요?3 이중과 전공 1,2,4학년 수업도 신청이 가능한가요?","제 가 전공 은 독일어 이 고 , 영문 과 를 이중전공 하 려 하 고 이제 3 학년 이 ㅂ니다 . 1 영문 과 에 ‘ 전공 ’ 이라고 쓰 어 있 는 수업 들 도 수강 신청 이 가능 하 ㄹ까요 2 그 수업 들 이 나중 에 이중이 영문 과 가 확정 이 되 면 영문과 이중 학점 으로 인정 이 되 나요 ? 3 이중 과 전공 1 , 2 , 4 학년 수업 도 신청 이 가능 하 ㄴ가요 ?",,
32,이중전공,영통 이중전공 떳나요?,영통 이중전공 떳나 요 ?,,
33,이중전공,시간표에 1학년 과목하고 이중전공만 넣었는데 나만 그런 거임? 기본도 모르면서 2학년 거 들으면 ㅈ망할 것 같은데,시간표 에 1 학년 과목 하고 이중전공 만 넣 었 는데 나 만 그렇 ㄴ 거 이 ㅁ ? 기본 도 모르 면서 2 학년 거 듣 으면 ㅈ 망하 ㄹ 것 같 은데,,
