QUESTION,ANSWER,TAGSET,LEMMA
이중전공이랑 부전공 차이에 대해서 궁금해요이중전공은 학위졸업장 표시인건 알겠는데부전공은 졸업장에도 표시가 안되나요,,"['DM', 'SM']",이중전공 부전공 차이 대하 이중전공 학위 졸업장 표시 부전공 졸업장 표시
재수강 연결방밥 대로 종합정보시스템-수업수강관리-재수강과목선택메뉴를 들어갔는데안내사항 및 이전성적 연결현황에 ‘동일교과로 자동연결되었습다 ‘ 라고 나와 있습니다 그럼 학사공지에 나와 있는 대로 재수강할 이전 성적을 선택해 재수강연결을 할 필요 없이 아무것도 안 해도 된다는 건가요 감사합니다,,['UK'],재수강 연결 종합 정보 시스템 수업 수강 관리 수강 과목 선택 메뉴 들어가 안내 사항 이전 성적 연결 현황 동일 교과 자동연결되었습 나오 학사 공지 나오 대로 재수강 이전 성적 선택 재수강 연결 필요 아무것 감사
항상 수고가 많으십니다 다름아니라 제가 총평점이 좀 낮은편이라 막학기에 수업을 더 들으면서 평점을 올려보고자 하는데요 졸업학점인 134학점을 초과해서 듣는것이 문제가 되나요,,['UK'],수고 다르 아니 제가 평점 학기 수업 평점 올리 졸업 학점 134 학점 초과 문제
제가 맨 처음에 이중전공을 gbt로 신청했다가 이중전공 경영으로 변경하려고 시도했는데자체시험에 2번이나 떨어져 변경을 실패했습니다그래서 지난 겨울방학2019년에 부전공으로 경영을 선택을 하고 2020년도 1학기 이중전공 변경기간에 경영으로 신청하려고 합니다한번 종합정보시스템을 들어갔는데 사진과 같은 내요이 있더라고요신경 쓰지 않고 변경기간에 경영으로 신청하면 되는 건가요,,"['SM', 'DM']",처음 이중전공 신청 이중전공 경영 변경 시도 자체 시험 떨어지 변경 실패 지나 겨울 방학 2019 부전공 경영 선택 2020년 학기 이중전공 변경 기간 경영 신청 한번 종합 정보 시스템 들어가 사진 내요 신경 변경 기간 경영 신청
이중전공을 바꾸고싶은데 혹시 바꾸게 된다면 그전에 받은 학점은 이어가는 건가요 아니면 소멸되는 건가요,,['DM'],이중전공 바꾸 바꾸 학점 소멸
혹시 등록휴학 후 자퇴할 경우 이번학기 등록금 환불이 가능한가요,,['UK'],등록 휴학 자퇴 경우 이번 학기 등록금 환불 가능
졸업유예 기간동안 학점 취득이 가능한가요,,['UK'],졸업 유예 기간 동안 학점 취득 가능
제가 인간과 사회 2학점 짜리 과목 씨쁠을 맞았었는데 이걸 언어와 문학 3학점 짜리 페논패 과목으로 재수강 연결이 가능하나요,,['UK'],인간 사회 학점 짜리 과목 씨쁠 이거 언어 문학 학점 짜리 페논 과목 재수강 연결 가능
2019-2학기에 8학기 까지 마치고 현재 사정상 2학점이 남은 상태로 휴학중입니다 전공과 이중전공 학점은 다 채운 상황이나 총 취득학점이 132학점이라 2학점이 모자랍니다 추가학기를 들어야 하는 상황인데요 이 경우 2020 여름 계절학기 때 2학점 수강 후 수료가 가능한지 궁금합니다 답변 부탁드립니다-,,['DM'],2019 학기 학기 마치 사정 학점 상태 휴학 전공 이중전공 학점 채운 상황 취득 학점 132 학점 학점 모자라 추가 학기 상황 경우 2020 여름 계절 학기 학점 수강 수료 가능 답변 부탁 드리
교양영어 재수강 하는 학생은 온라인 과제 하려면 전에 썼던 책이 있는 코드로 할 수 있는 건가요 아니면 새 책으로 해야 하나요,,['UK'],교양 영어 수강 학생 온라인 과제 코드
동일년도 내에서 학점 이월이 가능한 것에 대하요 질문드립니다1 봄학기에 휴학을 하고 가을학기에 복학하면 학점은 최대 20일 뿐인가요 22이렇게는 못듣는지2 봄학기에 교환학생을 가서 17학점을 이수받으면 가을학기에 외대에서 23학점을 들을 수 있나요,,['UK'],동일 년도 학점 이월 가능 대하 질문 드리 학기 휴학 가을 학기 복학 학점 최대 20 22 학기 교환 학생 17 학점 이수 가을 학기 외대 23 학점
만약에 이중전공->이중전공 변경하고 다시 이중전공->부전공b로 내리는 것도 가능한가요,,"['SM', 'DM']",만약 이중전공 이중전공 변경 이중전공 부전공 내리 가능
혹시 미리 복학신청을 할 수 있는지 궁금합니다 공무원 임요유예시에 재학증명서가 필요합니다 허나 임요유예 시기가 복학신청을 하는 시기 보다 빨라서 휴학생인 신분이 됩니다 그래서 혹시 미리 복학신청을 해서 재학증명서를 뽑을 수 있는지 궁금합니다,,['UK'],복학 신청 공무원 임요유예시 재학 증명서 필요 임요 유예 시기 복학 신청 시기 빠르 휴학 신분 복학 신청 재학 증명서
1학년 자퇴후 재입학 가능한지요 일학기를 끝내고 가능한지 궁금합니다,,['UK'],학년 자퇴 입학 가능 학기 끝내 가능
교환학생제도에 대해서 궁금증이 생겨서 학교 홈페이지를 둘러보다가 궁금한 점이 생겼는데요 국제교류팀 홈페이지에서 협정현황을 보면 조지타운 대학교와의 협정이 체결된걸로 나옵니다 하지만 막상 국제교류프로그램의 교환대상대학교에 들어가보면 조지타운 대학교는 빠져 있는데요 조지타운 대학교와는 어떤 협정이 되어 있는 건지 어디서 알수가 있을까요,,['UK'],교환 학생 제도 대하 궁금증 생기 학교 홈페이지 둘러보 생기 국제 교류 홈페이지 협정 현황 조지타운 대학교 협정 체결 나오 국제 교류 프로그램 교환 대상 대학교 들어가 조지타운 대학교 빠지 조지타운 대학교 협정 어디
수강편람을 읽다가 조금 헷갈리는 부분이 있어서 문의드립니다17학번 기준 졸업 필수 교양에 있어서 자유선택교양 부분에 대해서 질문 드리고 싶습니다기초교양과 핵심교양을 다 이수하고 남은 12학점을 교양 영역에서 자유롭게 이수하는 것이라고 되어 있는데한국외대 앱 성적조회상에서 교양영역 35라고 표시되어 있는 것은 제가 교양 영역에서 졸업 요건을 충족했다고 보아도 되는 것인가요,,['UK'],수강편람 헷갈리 부분 문의 드리 17 학번 기준 졸업 필수 교양 자유 선택 교양 부분 대하 질문 드리 기초 교양 핵심 교양 이수 남은 12 학점 교양 영역 자유 이수 한국 외대 성적 조회 교양 영역 35 표시 제가 교양 영역 졸업 요건 충족
제가 막학긴데 훕스 커리어 수강하는 걸 깜빡했는데요 계절학기로 듣는 게 가능할까요 마지막 학점은 계절학기로 못채운다는 말을 어디서 들어서 심란하네요 ,,['UK'],제가 학기 커리어 수강 계절 학기 가능 마지막 학점 계절 학기 채우 어디
건강 꼭 잘 챙기시구 기분 좋은 날들 많으시길 바랍니다다른 게 아니라 제가국제학에서 국통으로 부전공을 변경했습니다 이전에 들었던 국제학의 principles of Economics1을 재수강 하려는데 국통 principles of Economics1으로 연결할 수 있을까요전화를 돌려봐도 제대로 설명해주는 곳이 없어서 질문 드립니다언제나 감사드립니다 ,,['SM'],건강 챙기 기분 바라 아니 제가 국제 부전공 변경 이전 국제 수강 연결 전화 돌리 설명 질문 드리 감사 드리
에타 코로나 항상 조심하세요수강편람을 보면 7-8학기까지 졸업 조건 학점 다 채워야 후기 이중전공 신청 할 수 있다고 들었습니다 신청 기간이 4월달이라고 되어 있던데 그럼 제가 지금 18학번 이고 이제 3학년을 시작하면 3학년-56학기/ 4학년 -78학기 니까 4학년내에 조건을 만족하고 5-1학기에 신청 하면 되나요 그럼 5-1 봄에 시작하는 게 맞는건가요,,['DM'],코로나 항상 조심하세요수강편람 학기 졸업 조건 학점 채우 후기 이중전공 신청 신청 기간 18 학번 학년 시작 학년 56 학기 학년 78 학기 학년 조건 만족 학기 신청 시작
인턴을 마무리한 학기에 졸업할 수 있나요2020-1학기동안 졸업요건을 충족시킬 수 있습니다2020-2학기에는 인턴을 하고 연말에 바로 졸업할 수 있나요,,['UK'],인턴 마무리 학기 졸업 2020 학기 동안 졸업 요건 충족 시키 2020 학기 인턴 연말 졸업
총 재수강 학점도 제한이 있나요 한 학기동안 듣는거 말구요,,['UK'],재수강 학점 제한 학기 동안
이번에 칠쁠일을 우선선발로 지원했는데 코로나 때문에 우리나라에서 선발을 완료하요도 파견 취소가 될 수 있다고 들었습니다 이 경우 파견 취소가 되어서 2020-2에 못가고 2021-1에 칠쁠일 파견 재 신청을 한다면 우선선발로 지원할 수 있나요 우선선발로 한번 뽑혔었다고 못가면 우선선발이 증발하나 궁금합니다,,['UK'],이번 칠쁠일 선발 지원 코로나 때문 우리 나라 선발 완료 요도 파견 취소 경우 파견 취소 2020 2021 칠쁠 파견 신청 선발 지원 선발 한번 뽑히 선발 증발
항상 고생 많으십니다제가 이번학기에 복학신청을 했다가 다시 취소하려고 보니 복학신청후 취소는 학종지 방문신청만 된다네요그러면 혹시 수강변경 기간때 신청한 과목을 모두 삭제하고 버티면 어떻게 되는지 아시나요 감사합니다,,['UK'],고생 이번 학기 복학 신청 취소 보니 복학 신청 취소 종지 방문 신청 수강 변경 기간 신청 과목 삭제 버티 감사
혹시 페논페 과목 페일받을시에 f가 기록에 남나요 나중에 성적증명서 뽑았을 때요 이수학점에 포함안된다는 건 알고 있습니다,,['UK'],페논페 과목 페일받을시 기록 나중 성적 증명서 이수 학점 포함
고생이 많으십니다다름아니라 영역별 취득학점을 보니 1학년때 들었던 전공 과목이 자선학점 영역에 포함된 걸 발견했습니다 이 자선학점을 전공 학점으로 수정하려면 어디에문의하면 될까요,,['UK'],고생 다르 아니 영역 취득 학점 학년 전공 과목 자선 학점 영역 포함 발견 자선 학점 전공 학점 수정 어디 문의
고생 많으십니다 이번 8학기가 막학기 이고 20학점 듣는 재학생인데 이번학기에 좋은 성적을 얻어도 장학금을 받을 수 있나요,,['UK'],고생 이번 학기 학기 20 학점 재학 이번 학기 성적 장학금
한 학기 최대 수강신청 가능한 학점이 20점으로 알고 있는데 이 중 재수강하는 과목도 포함인가요재수강하는 과목은 이미 들었던 과목이라 당해 학기 학점에는 카운트가 되지 않는다는 말을 들어서요,,['UK'],학기 최대 수강 신청 가능 학점 20 재수강 과목 포함 수강 과목 과목 당해 학기 학점 카운트
