QUESTION,ANSWER,TAGSET,LEMMA
서울캠에서 네덜란드어전공을 들을 수 있나요,아니요,['UK'],서울캠 네덜란드어 전공
서울캠에서 경영학 들을 수 있나요,아니요,['UK'],서울캠 경영학
언어와공학 이중전공 서울캠 수업 들을 수 있어요,네. 들을 수 있습니다.,['DM'],언어 공학 이중전공 서울 수업
편입생도 이중전공 할 수 있어요,"네. 필수는 아니지만 재학 연한 내에서 이중전공, 부전공 또는 전공 심화 과정을 이수할 수 있습니다.",['DM'],편입 생도 이중전공
네덜란드어전공은 어느캠퍼스에서 들어,서울캠퍼스에서 이수해야 합니다.,['UK'],네덜란드어 전공 캠퍼스
정치외교학 이중전공인데 어느 캠퍼스에서 듣나요,"이중전공은 양 캠퍼스에서 가능하나, 부전공은 글로벌캠퍼스에서 가능합니다.",['DM'],정치 외교학 이중전공 캠퍼스
글캠인데 AI 융합전공을 신청할 수 있어요,네. 가능합니다. 서울캠퍼스에서 이수해야 합니다.,['UM'],글캠 융합전공 신청
융복합소프트웨어전공은 어디서 듣나요,글로벌캠퍼스에서 수강하시면 됩니다.,['UK'],융복 소프트웨어 전공 어디
경제학과인데 경제학을 이중전공으로 신청해도 되나요,경제학과는 경제학을 이중전공으로 이수할 수 없습니다.,['DM'],경제학 경제학 이중전공 신청
경영정보학과인데 경영학을 서울에서 이중전공 할 수 있나요,경영정보학과는 경영학을 이중전공으로 이수할 수 없습니다. 부전공으로는 가능합니다.,['DM'],경영 정보 학과 경영학 서울 이중전공
국금인데 경영학을 서울에서 이중전공 할 수 있나요,국제금융학과는 경영학을 이중전공으로 이수할 수 없습니다. 부전공으로는 가능합니다.,['DM'],국금 경영학 서울 이중전공
GBT학과인데 경영학을 서울에서 이중전공 할 수 있나요,GBT학과는 경영학을 이중전공으로 이수할 수 없습니다. 부전공으로는 가능합니다.,['DM'],학과 경영학 서울 이중전공
국제경영학과인데 경영학을 서울에서 이중전공 할 수 있나요,국제경영학과는 경영학을 이중전공으로 이수할 수 없습니다. 부전공으로는 가능합니다.,['DM'],국제 경영학 경영학 서울 이중전공
영어통번역학부 내 세부 전공을 부전공으로 가능한가요,TESOL영어학전공만 선택가능합니다.,['SM'],영어 번역 학부 세부 전공 부전공 가능
이중전공 필수 이수학점이 어떻게 되나요,"2015학번 이후는 42학점, 2007~2014학번인 경우 54학점을 이수해야 합니다.",['UK'],이중전공 필수 이수 학점
부전공 필수 이수학점이 어떻게 되나요,학번 관계 없이 21학점을 이수하셔야 합니다.,['SM'],부전공 필수 이수 학점
이중전공은 몇 학년부터 시작인가요,"2학년부터 시작이며, 배정시기는 2학년 진급 시로 합니다.",['UK'],이중전공 학년 시작
글캠인데 노어과 이중전공 신청할 수 있나요,중복학과는 서울캠퍼스 전공을 신청할 수 없습니다.,['DM'],글캠 노어 이중전공 신청
컴전인데 AI 융합전공 신청할 수 있어,이공학계열 소속 학생은 신청할 수 없습니다.,['UK'],융합전공 신청
이중전공은 언제부터 신청이야,최초 신청은 5월 말 또는 11월 말에 진행합니다.,['UK'],이중전공 언제 신청
이중전공 변경기간이 언제야,이중전공 변경은 5월 초 또는 11월 초에 진행합니다.,['UK'],이중전공 변경 기간
