,내용,분류,명사토큰
0,안녕하세요 조교님! 혹시 부전공 신청은 막학기에 불가능한가요??ㅜ이번학기가 막학기고 계절도 들을예정이고 졸유할건데이번학기중에 지금이중전공으로 되어있는걸 부전공으로 변경은 불가능한가요??,1,조교 혹시 부 전공 신청 막 학기 이번 학기 막 학기 계절 예정 졸유 이번 학기 지금 이중 전공 부 전공 변경
1,"안녕하세요, 조교님!저는 전역이 5주 정도 남은 군인입니다. 전역 후 계획을 세우다가 궁금한 점이 생겨 질문드립니다.1) 저는 군 복무중 군 원격강좌(19년 2학기)로 교양 2학점을 수강하였습니다. 전역 후 20년 2학기로 복학예정인데 20년 여름계절학기를 듣는것이 가능한가요???2) 만약 여름계절학기를 수강하는것이 가능하다면 18년 1학기(입대 전 학기)에 수강한 강좌를 20년 여름계절학기로 듣는 것이 가능한가요???항상 학우들을 위해 노력해주시는 조교님께 감사 말씀 드립니다.",1,조교 저 전역 주 정도 군인 전역 후 계획 점 질문 저 군 복무 군 원격강좌 학기 로 교양 학점 수강 전역 후 학기 복학 예정 여름 계절 학기 만약 여름 계절 학기 수강 학기 입대 전 학기 수강 강좌 여름 계절 학기 것 항상 학우 위해 노력 조교 감사 말씀
2,방학중 어학연수에 대해 질문이 있어서요!휴학중 학점인정은 재학 기간중 1회에 한해서만 가능하다고 돼있던데 방학중 어학연수도 휴학중 학점인정 기준으로 들어갈까요?방학/휴학중 어학연수 관련 내용에 휴학중 학점인정은 1회만 가능하다. 라고만 나와있어서 헷갈리더라구요 ㅠㅠ,9,방학 어학 연수 대해 질문 휴학 학점 인정 재학 기간 한해 만 방학 어학 수도 휴학 학점 인정 기준 요 방학 휴학 어학 연수 관련 내용 휴학 학점 인정
3,안녕하세요 조교님!제가지금 4학년 1학기 인데4학년은 1학기에 12학점 미만으로 학점 신청해도 되나요?제가 알기로는 막하기인 2학기만 12학점 이하로 알고있어서요?ㅠㅠ 어떤게 맞는건가요?,1,조교 가지 금 학년 학기 학년 학기 학점 미만 학점 신청 제 알기 막 학기 학점 이하 가요
4,조교님 안녕하세요!재수강을 하려고 하는데재수강과목선택란에 조회결과가 없다고 뜨면다시는 재수강 할 수 없나요?같은 카테고리 교양 안에서 연결하려고 하는 건데애초 수강신청 시 재수강 연결을 하지 않았으면 그 뒤에 재수강을 신청 할 방법은 없나요?,6,조교 재수강 재수강 과목 선택 란 조회 결과 재수강 수 카테고리 교양 안 건데 애초 수강신청 시 재수강 연결 그 뒤 재수강 신청 방법
5,안녕하세요 조교님!!자퇴를 하려고 하는데 어디서 신청하면 되나요??,3,조교 자퇴 신청
6,안녕하세요 조교님!1/4학기 이전에 휴학 신청을 하면 등록금 환불이라고 들었는데 맞나요? 그리고 원래 한학기가 16주였다가 현재 15주로 줄었는데 그렇게되면 3.75주로 계산이 되는 건가요?,1,조교 학기 이전 휴학 신청 등록금 환불 원래 학기 현재 주로 주로 계산 건가
7,"안녕하세요 조교님!!ㅠㅠ제가 항상 동일과목을 재수강 해서 자동연결이 됐어서이번에도 1-2에 들었던걸 3-1에 똑같은 과목을 재수강 하는데 미련결 과목있다고 문자가 오더라고요그래서 안내사항에 있는 ""성적연결 신청""을 눌렀는데 이전 성적 조회결과가 없다고 뜨네요ㅠㅜ 같은 과목이라도 학기가 달라서 그런건가요?ㅠㅠ 재수강 연결을 어떻게 해야하는 걸까요ㅠㅠ감사합니다!",6,조교 제 항상 과목 재수강 자동 연결 이번 과목 재수강 미련 결 과목 문자 안내 사항 성적 연결 신청 이전 성적 조회 결과 과목 학기 달라 건가 재수강 연결 요
8,"안녕하세요 조교님!이번에 인성을 위한 lectio(언어와 문학, p/f 과목)을 듣는데재수강연결과목으로 미네르바(3학점)도 연결가능한걸로 떠서혹시 저렇게 두과목 재수강연결이 되나요?? 만약 된다면 학점처리는 어떻게 되는건가요??(미네르바를 다시 들어야하는 건가요?)",4,조교 이번 인성 위 언어 문학 과목 재수강 연결 과목 미네르바 학점 도 연결 걸 혹시 과목 재수강 연결 만약 학점 처리 가요 미네르바 다시 건가
9,안녕하세요 조교님! 제가 이번학기에 수강하는 언어와 문학 과목을 재수강 연결 하려고 하는데요. 지난학기에 들었던 대학 외국어 수업으로 연결할 수 있다는 것으로 뜨는데 그것도 대체가 되나요? 항상 감사합니다!,1,조교 제 이번 학기 수강 언어 문학 과목 재수강 연결 학기 대학 외국어 수업 수 것 그것 대체 항상
