,내용,댓글,댓글쓴이,대댓글여부,id
0,작년 말 경영 이중 떨어졌는데 이번 이중 변경 때 신청하면 되는 거 맞죠? 그러면 영어성적제출 기간 6월 15일부터인 거 맞나욮?,,,,117505109
1,"편입생은 이중전공이 안돼요?🥺이번에 들어온 편입생이고, 이중전공신청 들어가니까 학생은 신청대상자가 아니래요🤧🤧🤧학교에 전화해도 다들 안받으셔서 여기 물어봐요🥺","['엥 제가 편입생은 아니지만 된다고 알고 있는데... 후기이중신청때 한 번 해보세요', '오늘부터가 후기 이중신청인데  신청대상이 아니라고 떠요😂', '과사나 학종지에 메일을 보내보세용..ㅠㅠ 지금 여러 일로 바쁘셔서 전화 연결이 어려운가봐요ㅠㅠ!', '감사해용..!', '되요! 근데 3학년2학기까지 결정해야됫엇나? 그럴꺼에요 문의 해보세여! 대신 학점이수 때문에 좀 빡셀꺼에요 잘 계산해보세요~', '네’ 아직 1학기니까 이러다가 학교 삼년다니나몰라요 하히ㅣ 감사합니다 잘알려주셔서🍓', '저는 신청해서 하고있어요', '편입생이세요?? 하실만하세요??🤭', '편입생맞아요 근데 순수하게 이중전공할 전공을 배우고싶으셔서 하는거 아니면 비추해요. 저도 1년 더다닐거 감수하고 신청했어요. 해보니까 죽을맛이긴 하더라구요. 절차상 편입후 2번째학기부터 듣게될텐데(이번학기에 미리 신청해서 듣고있는게 아니라면) 1년 더다닌다고 해도 본전공하면서 42학점 다 듣기는 힘들어요. 두번째학기에 12학점(보통은 4과목정도)을 이중전공으로 들으면서 본전공 같이 들으셔도 2학기 추가로 다니는 내내 15 15학점씩 들어야 하니까요. 전적대 학점인정을 많이 받는게 아니라면 꽤 피곤해져요. 그냥 저는 자기계발한다고 생각하면서 감당하는 중이에요(감당이 아예 안될정도는 아닙니다 힘들어서 그렇지)', '잘 설명해주셔서 감사해요! 혹시 취업과 상관해서 이중전공 하시는건가요?? 저도 너무 배워보고싶은게있는데 취업과는 연계되기 힘들 것 같기도 하고해서 정말 배우는것에 만족하고 취업은 못챙기게될까 걱정이어서요.. 귀찮으실까 걱정이에용..답 안해주셔도 됩니다 너무 도움많이됐어요!!!', '전적대 전공을 이중전공으로 하고있어요 나름대로 취업에 도움이 될것같긴 하고요. 이중전공을 살려서 취업한다기 보다는 경험을 중심으로 스토리텔링할때 쓸 얘기가 많아져요. 자격증 응시자격을 의외로 받을수도 있고요. 취업에 살린다면 본전공이랑 시너지가 날만한거면 좋겠죠...?']","['익명', '익명(글쓴이)', '익명', '익명(글쓴이)', '익명', '익명(글쓴이)', '익명', '익명(글쓴이)', '익명', '익명(글쓴이)', '익명']","['parent', 'child', 'parent', 'child', 'parent', 'child', 'parent', 'child', 'child', 'child', 'child']",116994730
2,글캠인데 중통으로 이중전공 하고싶은데 성적 높아야하나요?,"['ㄴㄴ', '성적 아예 안보는건 아니죠??', '전출은 되야하니까 성적 관리 해야돼용', '전출이 뭔가용...?ㅠㅠ', '과에서 전과가 가능한 인원이 있어요 과마다 인원이 상이하니 학교 홈페이지 공지-학사 공지에서 작년 전과 시행 공고 한번 찾아보세요!']","['익명', '익명(글쓴이)', '익명', '익명(글쓴이)', '익명']","['parent', 'child', 'parent', 'child', 'child']",116687628
3,이중전공 변경 기간은 5월이고 부전공 신청 기간은 7월 맞죠??!,,[],,115413624
4,스페인 이중전공을 경영 부전공으로 바꿀 수 있나요??,['ㅇㅇ'],['익명'],['parent'],114969757
5,서울캠에 너무가고싶은데 전과 보다는 이중전공이쉽나여?? 이중전공은 어떻게하는거애요,"['이런 핑프마인드면 아무것도 못한단다 좀 찾아보고 질문했으면 좋겠네요 이중전공은 어떻게하는거냐니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '뭔가 소름 돋는다...', '반수를하세요 반수를']","['익명', '익명', '익명']","['parent', 'parent', 'parent']",114914647
6,두학기 합쳐서 32학점 들으면 이중 떨어질 수도 있나요,['ㅇㅇ34학점 이상 우선배정이라 경쟁률 1넘는과는 떨어진다고 보면 돼요'],['익명'],['parent'],114785975
7,절대평가면 이중전공 신청시 학점에 대한 기준이 아예 없어지는 건가요?,"['??절평학점으로 그대로 반영되죠', '반영 될거라는건 아는데.. 만점자들 많아져서 변별력이 아예 없지않나요', '신입생이신가요? 어차피 2학기는 상평이기때문에 본인이 열심히하면 변별력걱정은 안해도 될거에요. 전과경쟁은 빡세지겠지만 이중전공은 원래도 학점컷 별로 안높아서요', '절평이라고 해서 다 만점 아니고 학점도 천차만별로 갈립니다..!']","['익명', '익명(글쓴이)', '익명', '익명']","['parent', 'child', 'child', 'child']",113912198
8,경제 이중전공 하려면 시험봐야 하나요?학점은 어느정도 되어야 하나요?,"['시험 없구요 학점 3.8이상이요', '시험없고 3.8~9정도']","['익명', '익명']","['parent', 'parent']",112672350
9,"현재 국통 부전공상태에서 2학년끝나고 휴학을 할 예정인데, 휴학중일때 국통이중 시험을보고 이중변경 신청을 하려고해요 그럼 학점이 몇 학년 몇학기 성적이 반영되는건가요..?",,[],,112349739
10,추가학기 다닐거면 8학기에 이중변경 신청해도 상관없나요? 공지에는 안 된다는 말이 없어서요!,['ㅇㄷ 궁금하네요'],['익명'],['parent'],111864550
11,이중 정외로 변경하면 학점으로만 컷하나요? 얼마 정도여야하나요?,"['삭제된 댓글입니다.', '3.6정도면 충분할까요?', '얼마나뽑나영', '최소 3.8이상']","['(삭제)', '익명(글쓴이)', '익명', '익명']","['parent', 'child', 'parent', 'parent']",111849015
12,프랑스어학부 이중생분들 계신가요? 어떤가요?,"['정외 전공 프어 이중전공 학생인데... 열심히 노력하셔야 결과 나와요... A도 엄청 힘들어요..', '아 진짜요? ㅠㅠㅠㅠ 검은머리 프랑스인들 많은가요......... ㅠㅠㅠ', '그럼요.........😭', '2언어 이중하려고 했는데............ 신중하게 생각해봐야겠네요...... 감사합니다.... 하나만 더 여쭤볼게요 진도는 어떤가요? 아베쎄데부터 가르쳐 주시기는 하는지........']","['익명', '익명(글쓴이)', '익명', '익명(글쓴이)']","['parent', 'child', 'child', 'child']",111837172
13,이중전공 처음 신청하고 경쟁에 밀려서 불합격하면 포기하고 다음학기나 학년에 다시 지원할 수 있나요?,"[""'불합격 후 포기'가 무슨 뜻인지 잘 모르겠지만 매학기 이중변경기간에 신청해서 배정받을 수 있습니다.""]",['익명'],['parent'],111442078
14,평점 3.7인데 이중변경 때 경제 한 번 더 해봐도 안되겠죠?,['변경때는 힘듬'],['익명'],['parent'],111148256
15,"제가지금 부전공을 하고있는데, 변경기간에 다른 전공을 이중전공으로 신청할 수 있나요?",,[],,111118539
16,부전공 이중전공은 거의 전필만 듣는다고 보면됨??본전공 전필+전선+교필 채우고 나머지를 이중전공학과 전필로 하면 학점 다 참?,,[],,110698182
17,글캠에서 서울 영문과 이중 전공 되나요?,"['ㄴㄴ글캠에 영통있어서 안돼요', '감사합니다']","['익명', '익명(글쓴이)']","['parent', 'child']",110259972
18,저 경제 이중전공 너무하고싶은데 학점만 잘따면되나요? 또 필요한거없나요? 검색 다해봤는데도 안나오네요ㅠ,"['학점만 잘 관리하시면 됩니다~', '감사합니다! 1학년 말에 선발하는걸로 알고있는데 그때 떨어지면 이중전공은 아예못하는가요?', '1지망 2지망으로 신청할 수 있고 후에 또 신청하는 기회가 있는 걸로 압니다~ 학사 공지 뜨면 함 확인해 보세요', '넵 감사합니다ㅎㅎ']","['익명', '익명(글쓴이)', '익명', '익명(글쓴이)']","['parent', 'child', 'child', 'child']",109415314
19,영어전공인데 다른 영어전공 이중 불가능한가요..?,['가능해용'],['익명'],['parent'],109376069
20,경제 이중하시는 분들께 여쭤보고 싶습니다.혹시 이중 지원하실 때 총 학점 어떻게 되시나요?그리고 전공 학점이 많은 게 좋은까요 교양학점이 많은 게 좋은가요?,"['삭제된 댓글입니다.', '헉 그렇군요! 감사합니다! 아 그리고 제가 경제 생초보라서 책으로 방학중에 가볍게 공부해보고 싶은데 추천하시는 책같은 거 있을까요?', '앗 그렇군요!! 그래도 감사합니다! 혹시 삼점대 중후반임7ㄴ 3.7~8정도면 되는 건가요?']","['(삭제)', '익명(글쓴이)', '익명(글쓴이)']","['parent', 'child', 'child']",109238266
21,경제 이중생들 교재 미리 사놓으셨나요?이번이 이중 처음이라... 계획서에 있는 교재로 수업안할까봐 아직 안샀는데ㅜㅜ,"['삭제된 댓글입니다.', '혹시 언제 사실건가요??', '아아 그렇군요 알려줘서 감사합니당ㅎㅎ']","['(삭제)', '익명(글쓴이)', '익명(글쓴이)']","['parent', 'child', 'child']",109225987
22,편입생인데 이중전공 신청하려면 이번에 몇학점이상 수강신청 해야되는지 제한이 있나요?,"['편입인데 이중하시려면 걍 20최대로 들으시는게 졸업 그나마 덜 미뤄질듯해용!', '아 따로 제한은 없는거군요!! 답변 감사해요~']","['익명', '익명(글쓴이)']","['parent', 'child']",108986054
23,사범에서 사범 이중해서 복수교원 노리려면 빡세려나요...?ㅠ,"['넵', '아니요!! 우리 학교에서 제일 안빡센 루트 일겁니다 ㅎㅎㅎ 프독교 학생들 많이 그렇게 합니다', '교직쪽은 중복이라 안 들어도 돼서 그런건가요??ㅎㅎ', '1. 일단 이중전공 대부분이 경쟁률이 센데 경쟁률 자체가 영/한 둘다 없고 2. 교직 수업 전반적으로 매우 널널합니다 3. 그리고 이중 교직 요건이라고 해도 그렇게 까지 어렵지 않은걸로 알수 있습니다 3. 임용의 특성상 학점이 중요x 여타 대외활동 x 자격증 x -> 교생 1달하고 교육봉사시간 채우면 됩니다', '사범대에서 전심을 제외하고 제일 덜빡센 이중루트', '교직쪽 수업은 한 번 들으면 되는거죠??', '네 교직이 교심 이런거라면 맞습니다']","['익명', '익명', '익명(글쓴이)', '익명', '익명', '익명(글쓴이)', '익명']","['parent', 'parent', 'child', 'child', 'parent', 'child', 'child']",108688642
24,사정상 2학기에 입학하는 신입생입니다. 그렇게 되면 21년 2학기에 2학년이 되는데 이중전공을 이때 신청할수도 있나요??,"['네 가능합니다', '소수어 생각중인데 보통 1학기에 기초1 2학기에 기초2 이런식으로 열리잖아요?? 이중은 2학기에도 기초1 들을수 있을까요? 수강 순서때문에 고민이 됩니다 ㅜ', '2학기엔 1과목이 열리지 않아요ㅠㅠ 어느정도 감안하고 들으셔야할것같습니다', '이중전공을 꼭 2학년 되는 시점에 신청해야 하나요? 저같은 경우 엇입학이라 22년 1학기(2학년 2학기)부터 이중 신청해서 들을수는 없을까요??', '가능한데 변경시점에 여석이 남아있어야 가능해요', '엥 그게 가능해요???']","['익명', '익명(글쓴이)', '익명', '익명(글쓴이)', '익명', '익명']","['parent', 'child', 'child', 'child', 'child', 'parent']",107813974
25,"본전공 어문 이중 어문 질문있습니다!본전공으로 방학때 연수 다녀오면 학점이 인정되는걸로 아는데, 이중전공 어문도 연수다녀오면 전공학점이 인정 되나요? 아니면 인정학점 제한이 있나요?",['이거는 에타조교 게시판에 올려보시는게 어때요? 더 전문적인 답변을 해주실거에요'],['익명'],['parent'],107595476
26,이제 3학년 올라가고 부전만 다른 전공으로 들었었습니다! 이중은 한번도 신청한적 없는데 변경기간에 신청해야 하나용? 국통 이중으로 신청하고 싶은데 5월정도에 공고 나나용? 답변 부탁 드려용♥,"['네 변경기간에 신청하셔야돼요', '학점 어떻게 되세요?']","['익명', '익명']","['parent', 'parent']",107390324
