,글쓴이,내용,더보기,id,작성시간,좋아요,댓글 수
0,익명,조교님! 이중전공이랑 부전공 차이에 대해서 궁금해요!이중전공은 학위+졸업장 표시인건 알겠는데부전공은 졸업장에도 표시가 안되나요?,0,112245378,2020-03-25 18:17,0,0
1,익명,안녕하세요 조교님!재수강 연결방밥 대로 종합정보시스템-수업수강관리-재수강과목선택메뉴를 들어갔는데안내사항 및 이전성적 연결현황에 ‘동일교과로 자동연결되었습다 ‘ 라고 나와있습니다. 그럼 학사공지에 나와있는대로 재수강할 이전 성적을 선택해 재수강연결을 할 필요없이 아무것도 안해도 된다는 건가요? 감사합니다.!,1,112204241,2020-03-25 15:00,0,0
2,익명,"조교님 안녕하세요!! 항상 수고가 많으십니다 다름아니라 제가 총평점이 좀 낮은편이라 막학기에 수업을 더 들으면서 평점을 올려보고자 하는데요, 졸업학점인 134학점을 초과해서 듣는것이 문제가 되나요??ㅠㅠ",0,112183678,2020-03-25 13:17,0,0
3,익명,안녕하세요 조교님!제가 맨 처음에 이중전공을 gbt로 신청했다가이중전공 경영으로 변경하려고 시도했는데자체시험에 2번이나 떨어져 변경을 실패했습니다그래서 지난 겨울방학(2019년)에 부전공으로 경영을 선택을 하고 2020년도 1학기 이중전공 변경기간에 경영으로 신청하려고 합니다한번 종합정보시스템을 들어갔는데 사진과 같은 내용이 있더라고요신경쓰지 않고 변경기간에 경영으로 신청하면 되는건가요?,1,112132727,2020-03-25 2:44,0,0
4,익명,이중전공을 바꾸고싶은데 혹시 바꾸게 된다면 그전에 받은 학점은 이어가는 건가요? 아니면 소멸되는 건가요?,0,112064305,2020-03-24 21:12,0,1
5,익명,조교님 혹시 등록휴학 후 자퇴할 경우 이번학기 등록금 환불이 가능한가요?,0,112063892,2020-03-24 21:10,0,0
6,익명,졸업유예 기간동안 학점 취득이 가능한가요?,0,112052180,2020-03-24 20:16,0,0
7,익명,조교님 제가 인간과 사회 2학점 짜리 과목 씨쁠을 맞았었는데 이걸 언어와 문학 3학점 짜리 페논패 과목으로 재수강 연결이 가능하나요??,0,111943260,2020-03-24 12:02,0,0
8,익명,"안녕하세요 조교님.2019-2학기에 8학기 까지 마치고, 현재 사정상 2학점이 남은 상태로 휴학중입니다. 전공과 이중전공 학점은 다 채운 상황이나, 총 취득학점이 132학점이라 2학점이 모자랍니다. 추가학기를 들어야 하는 상황인데요, 이 경우 2020 여름 계절학기 때 2학점 수강 후 수료가 가능한지 궁금합니다. 답변 부탁드립니다-!",0,111800950,2020-03-23 19:13,0,0
9,익명,교양영어 재수강 하는 학생은 온라인 과제 하려면 전에 썼던 책이 있는 코드로 할 수 있는건가요? 아니면 새 책으로 해야하나요?,0,111713683,2020-03-23 13:06,0,0
10,익명,조교님안녕하세요.동일년도 내에서 학점이월이 가능한 것에 대하여 질문드립니다.1. 봄학기에 휴학을 하고 가을학기에 복학하면 학점은 최대 20일 뿐인가요..? 22이렇게는 못듣는지..ㅠㅠ2. 봄학기에 교환학생을 가서 17학점을 이수받으면 가을학기에 외대에서 23학점을 들을 수 있나요?,1,111677646,2020-03-23 10:08,0,0
11,익명,안녕하세요 만약에 이중a->이중b로 변경하고 다시 이중b->부전공b로 내리는 것도 가능한가요?,0,111649639,2020-03-23 2:16,0,0
12,익명,혹시 미리 복학신청을 할 수 있는지 궁금합니다. 공무원 임용유예시에 재학증명서가 필요합니다. 허나 임용유예 시기가 복학신청을 하는 시기 보다 빨라서 휴학생인 신분이 됩니다. 그래서 혹시 미리 복학신청을 해서 재학증명서를 뽑을 수 있는지 궁금합니다,0,111402479,2020-03-21 22:14,0,0
13,익명,1학년 자퇴후 재입학 가능한지요? 일학기를 끝내고 가능한지 궁금합니다,0,111342338,2020-03-21 17:05,0,1
14,익명,안녕하세요 조교님교환학생제도에 대해서 궁금증이 생겨서 학교 홈페이지를 둘러보다가 궁금한 점이 생겼는데요. 국제교류팀 홈페이지에서 협정현황을 보면 조지타운 대학교와의 협정이 체결된걸로 나옵니다. 하지만 막상 국제교류프로그램의 교환대상대학교에 들어가보면 조지타운 대학교는 빠져있는데요. 조지타운 대학교와는 어떤 협정이 되어있는건지 어디서 알수가 있을까요?,0,111239948,2020-03-21 1:36,0,0
15,익명,안녕하세요 조교님 수강편람을 읽다가 조금 헷갈리는 부분이 있어서 문의드립니다17학번 기준 졸업 필수 교양에 있어서 자유선택교양 부분에 대해서 질문 드리고 싶습니다기초교양과 핵심교양을 다 이수하고 남은 12학점을 교양영역에서 자유롭게 이수하는것이라고 되어있는데한국외대 앱 성적조회상에서 교양영역 35라고 표시되어있는것은 제가 교양영역에서 졸업 요건을 충족했다고 보아도 되는것인가요??,1,111234911,2020-03-21 1:13,0,0
16,익명,안녕하세요 조교님.. 제가 막학긴데 훕스 커리어 수강하는 걸 깜빡했는데요.. 계절학기로 듣는 게 가능할까요? 마지막 학점은 계절학기로 못채운다는 말을 어디서 들어서 심란하네요 ㅠㅠ,0,111114039,2020-03-20 16:53,0,1
