,내용,댓글,댓글쓴이,대댓글여부,id
0,안녕하세요 조교님! 혹시 부전공 신청은 막학기에 불가능한가요??ㅜ이번학기가 막학기고 계절도 들을예정이고 졸유할건데이번학기중에 지금이중전공으로 되어있는걸 부전공으로 변경은 불가능한가요??,,,,112883775
1,"안녕하세요, 조교님!저는 전역이 5주 정도 남은 군인입니다. 전역 후 계획을 세우다가 궁금한 점이 생겨 질문드립니다.1) 저는 군 복무중 군 원격강좌(19년 2학기)로 교양 2학점을 수강하였습니다. 전역 후 20년 2학기로 복학예정인데 20년 여름계절학기를 듣는것이 가능한가요???2) 만약 여름계절학기를 수강하는것이 가능하다면 18년 1학기(입대 전 학기)에 수강한 강좌를 20년 여름계절학기로 듣는 것이 가능한가요???항상 학우들을 위해 노력해주시는 조교님께 감사 말씀 드립니다.",,[],,112880808
2,방학중 어학연수에 대해 질문이 있어서요!휴학중 학점인정은 재학 기간중 1회에 한해서만 가능하다고 돼있던데 방학중 어학연수도 휴학중 학점인정 기준으로 들어갈까요?방학/휴학중 어학연수 관련 내용에 휴학중 학점인정은 1회만 가능하다. 라고만 나와있어서 헷갈리더라구요 ㅠㅠ,,[],,112864005
3,안녕하세요 조교님!제가지금 4학년 1학기 인데4학년은 1학기에 12학점 미만으로 학점 신청해도 되나요?제가 알기로는 막하기인 2학기만 12학점 이하로 알고있어서요?ㅠㅠ 어떤게 맞는건가요?,,[],,112848838
4,조교님 안녕하세요!재수강을 하려고 하는데재수강과목선택란에 조회결과가 없다고 뜨면다시는 재수강 할 수 없나요?같은 카테고리 교양 안에서 연결하려고 하는 건데애초 수강신청 시 재수강 연결을 하지 않았으면 그 뒤에 재수강을 신청 할 방법은 없나요?,,[],,112813045
5,안녕하세요 조교님!!자퇴를 하려고 하는데 어디서 신청하면 되나요??,"['종합정보시스템 > 학적변동신청 > 자퇴신청을 한 다음, 자퇴원서를 작성을 해서 학종지에 제출하면 됩니다']",['에타조교'],['parent'],112748915
6,안녕하세요 조교님!1/4학기 이전에 휴학 신청을 하면 등록금 환불이라고 들었는데 맞나요? 그리고 원래 한학기가 16주였다가 현재 15주로 줄었는데 그렇게되면 3.75주로 계산이 되는 건가요?,"['1. 등록금 환불은 자퇴 시에만 가능합니다 휴학을 하면 등록휴학으로 처리됩니다 2. 지금 코로나 때문에 학사일정이 다소 바뀌었는데 학기 1/4선 계산 등은 학종지에 직접 문의하셔서 확인바랍니다', '현재 해외에 있어서 학종지에 직접 문의를 하기가 힘든 상황입니다', '그런 경우엔 보통 지인이나 가족을 통해서 문의를 합니다 저도 예전엔 그랬고요..', '아 넵 알겠습니다']","['에타조교', '익명(글쓴이)', '에타조교', '익명(글쓴이)']","['parent', 'child', 'child', 'child']",112663087
7,"안녕하세요 조교님!!ㅠㅠ제가 항상 동일과목을 재수강 해서 자동연결이 됐어서이번에도 1-2에 들었던걸 3-1에 똑같은 과목을 재수강 하는데 미련결 과목있다고 문자가 오더라고요그래서 안내사항에 있는 ""성적연결 신청""을 눌렀는데 이전 성적 조회결과가 없다고 뜨네요ㅠㅜ 같은 과목이라도 학기가 달라서 그런건가요?ㅠㅠ 재수강 연결을 어떻게 해야하는 걸까요ㅠㅠ감사합니다!","['음 지금 이게 전공인지 교양인지 또 (1),(2)로 나뉘어진 연강수업인지 아니면 학기 상관없는 동일수업인지 알 수가 없어서 답변이 제한되네요...우선 종정시에 접속하셔서 수업/수강관리 > 재수강과목선택 부분을 확인바랍니다', '전공수업에 1,2 나눠지지 않은 동일과목입니다! 자동연결될줄 알았는데 학교에서 미연결과목있다고 문자오고 재수강과목선택 들어가서 성적연결신청을 누르면 이전성적 조회결과가 없다고 뜹니다ㅠㅠ 교수님까지 똑같은 강의인데ㅠㅠ 자동연결이 되는걸까요ㅠㅠ', '그럼 자동연결이 되었을텐데 이상하네요 혹시 전공 말고 교양 등 다른 과목이 아닌지 확인바라며 만일 그것도 아니라면 학종지에 문의바랍니다', '원래 재수강 연결할때 이전성적이 뜨고 연결할수있는건가요? 전 아무리봐도 같은 과목인데 자동연결이라고 안써져있고..ㅠㅠ']","['에타조교', '익명(글쓴이)', '에타조교', '익명(글쓴이)']","['parent', 'child', 'child', 'child']",112627947
8,"안녕하세요 조교님!이번에 인성을 위한 lectio(언어와 문학, p/f 과목)을 듣는데재수강연결과목으로 미네르바(3학점)도 연결가능한걸로 떠서혹시 저렇게 두과목 재수강연결이 되나요?? 만약 된다면 학점처리는 어떻게 되는건가요??(미네르바를 다시 들어야하는 건가요?)",['미네르바는 교양필수과목이기 때문에 타교양으로 재수강 연결을 할 수 없습니다 (동일과목으로만 재수강 가능)'],['에타조교'],['parent'],112619096
9,안녕하세요 조교님! 제가 이번학기에 수강하는 언어와 문학 과목을 재수강 연결 하려고 하는데요. 지난학기에 들었던 대학 외국어 수업으로 연결할 수 있다는 것으로 뜨는데 그것도 대체가 되나요? 항상 감사합니다!,['대학외국어는 교양필수과목이기 때문에 타교양으로 재수강 연결을 할 수 없습니다 (동일과목으로만 재수강 가능)'],['에타조교'],['parent'],112563109
